course_id,student_id,days,hours,source,notes,submission_id,submitted_at,semester_taken,hours_per_week,concurrent_courses,grade,has_adhd,medicated,math_skill,coding_skill,writing_skill,prior_background,review_needed,include,weight
DTSA5001,msds_reviews_b2fd50e75060db4a,,40.85,msds_reviews,,msds_reviews_b2fd50e75060db4a,,,,,,,,,,,,auto,true,14.0
DTSA5002,msds_reviews_a1ee253e66e1cb89,,49.38,msds_reviews,,msds_reviews_a1ee253e66e1cb89,,,,,,,,,,,,auto,true,8.0
DTSA5003,msds_reviews_09558921acf493c6,,54.0,msds_reviews,,msds_reviews_09558921acf493c6,,,,,,,,,,,,auto,true,5.0
DTSA5301,msds_reviews_41481afcceacb34c,,6.67,msds_reviews,,msds_reviews_41481afcceacb34c,,,,,,,,,,,,auto,true,3.0
DTSA5011,msds_reviews_0fcbdd2b6f74b2a9,,33.33,msds_reviews,,msds_reviews_0fcbdd2b6f74b2a9,,,,,,,,,,,,auto,true,3.0
DTSA5012,msds_reviews_1bc8ac0d9fff500f,,20.0,msds_reviews,,msds_reviews_1bc8ac0d9fff500f,,,,,,,,,,,,auto,true,1.0
DTSA5013,msds_reviews_cba17415f434a69e,,20.0,msds_reviews,,msds_reviews_cba17415f434a69e,,,,,,,,,,,,auto,true,1.0
DTSA5733,msds_reviews_12df38aa62307610,,17.33,msds_reviews,,msds_reviews_12df38aa62307610,,,,,,,,,,,,auto,true,3.0
DTSA5734,msds_reviews_0e7d078b555f09f6,,15.0,msds_reviews,,msds_reviews_0e7d078b555f09f6,,,,,,,,,,,,auto,true,5.0
DTSA5735,msds_reviews_0b1ae6641f06d003,,13.0,msds_reviews,,msds_reviews_0b1ae6641f06d003,,,,,,,,,,,,auto,true,3.0
DTSA5701,msds_reviews_85b09d653ed95b4e,,10.67,msds_reviews,,msds_reviews_85b09d653ed95b4e,,,,,,,,,,,,auto,true,3.0
DTSA5702,msds_reviews_3f6ea1af18d629db,,7.0,msds_reviews,,msds_reviews_3f6ea1af18d629db,,,,,,,,,,,,auto,true,1.0
DTSA5703,msds_reviews_60887a0f9946ef39,,7.0,msds_reviews,,msds_reviews_60887a0f9946ef39,,,,,,,,,,,,auto,true,1.0
DTSA5020,msds_reviews_39ee6dfd9e74bb94,,22.0,msds_reviews,,msds_reviews_39ee6dfd9e74bb94,,,,,,,,,,,,auto,true,3.0
DTSA5021,msds_reviews_4c0bb32885c7fd38,,24.0,msds_reviews,,msds_reviews_4c0bb32885c7fd38,,,,,,,,,,,,auto,true,2.0
DTSA5022,msds_reviews_07da51f819892c7e,,13.75,msds_reviews,,msds_reviews_07da51f819892c7e,,,,,,,,,,,,auto,true,4.0
DTSA5509,msds_reviews_d7bbe2e22c3aba88,,41.29,msds_reviews,,msds_reviews_d7bbe2e22c3aba88,,,,,,,,,,,,auto,true,21.0
DTSA5510,msds_reviews_aa523ccbd7616e72,,46.29,msds_reviews,,msds_reviews_aa523ccbd7616e72,,,,,,,,,,,,auto,true,14.0
DTSA5511,msds_reviews_1e21da659a977092,,62.22,msds_reviews,,msds_reviews_1e21da659a977092,,,,,,,,,,,,auto,true,9.0
DTSA5504,msds_reviews_314698a4a7a687fb,,14.91,msds_reviews,,msds_reviews_314698a4a7a687fb,,,,,,,,,,,,auto,true,11.0
DTSA5505,msds_reviews_454c60b4f058e39e,,17.29,msds_reviews,,msds_reviews_454c60b4f058e39e,,,,,,,,,,,,auto,true,7.0
DTSA5506,msds_reviews_aebfcb7d73bfee96,,26.0,msds_reviews,,msds_reviews_aebfcb7d73bfee96,,,,,,,,,,,,auto,true,6.0
DTSA5704,coursera_published_8c3fd75d90c01b23,,18.0,coursera_published,,coursera_published_8c3fd75d90c01b23,,,,,,,,,,,,auto,true,1.0
DTSA5705,coursera_published_e904331e2b333102,,9.0,coursera_published,,coursera_published_e904331e2b333102,,,,,,,,,,,,auto,true,1.0
DTSA5706,coursera_published_e5dc903195be2821,,17.0,coursera_published,,coursera_published_e5dc903195be2821,,,,,,,,,,,,auto,true,1.0
DTSA5842,coursera_published_f69741a1c59f4ef6,,63.0,coursera_published,,coursera_published_f69741a1c59f4ef6,,,,,,,,,,,,auto,true,1.0
DTSA5843,coursera_published_f5a02d5220d4c0cc,,13.0,coursera_published,,coursera_published_f5a02d5220d4c0cc,,,,,,,,,,,,auto,true,1.0
DTSA5798,coursera_published_779084b9ca09e82e,,12.0,coursera_published,,coursera_published_779084b9ca09e82e,,,,,,,,,,,,auto,true,1.0
DTSA5799,coursera_published_822ff400777f24ae,,13.0,coursera_published,,coursera_published_822ff400777f24ae,,,,,,,,,,,,auto,true,1.0
DTSA5800,coursera_published_77f7213a5cc03b19,,10.0,coursera_published,,coursera_published_77f7213a5cc03b19,,,,,,,,,,,,auto,true,1.0
